| Product ID | Product Name            | Description                                       | Price | Category          | Halal Certificate |
|------------|-------------------------|---------------------------------------------------|-------|-------------------|-------------------|
| P101       | Fresh Apples            | Premium quality, handpicked apples.                | $2.49 | Fruits & Vegetables | No                |
| P102       | Whole Wheat Bread       | Nutritious whole wheat bread for a healthy diet.   | $1.99 | Bakery            | Yes               |
| P103       | Chicken Breast          | Boneless, skinless chicken breasts.                | $5.99 | Meat & Poultry    | Yes               |
| P104       | Spaghetti Pasta         | Traditional Italian pasta for your favorite dishes.| $1.79 | Pasta & Grains    | Yes               |
| P105       | Fresh Milk              | Farm-fresh, pasteurized whole milk.                | $3.49 | Dairy & Eggs      | No                |
| P106       | Halal Ground Beef       | Premium halal ground beef for various recipes.    | $6.99 | Meat & Poultry    | Yes               |
| P107       | Canned Tomatoes         | Diced tomatoes for sauces and stews.               | $1.29 | Canned Goods      | Yes               |
| P108       | Halal Chicken Sausages  | Halal-certified chicken sausages.                 | $4.49 | Meat & Poultry    | Yes               |
| P109       | Brown Rice              | Long-grain brown rice for a wholesome meal.       | $2.99 | Pasta & Grains    | Yes               |
| P110       | Fresh Spinach           | Leafy green spinach, packed with nutrients.       | $1.79 | Fruits & Vegetables | No                |
| P111       | Halal Turkey Breast     | Deli-sliced halal turkey breast.                  | $3.99 | Deli & Prepared Foods | Yes             |
| P112       | Organic Quinoa          | Organic quinoa for a protein-rich diet.           | $4.99 | Pasta & Grains    | No                |
| P113       | Greek Yogurt            | Creamy Greek yogurt with live cultures.           | $2.99 | Dairy & Eggs      | No                |
| P114       | Halal Lamb Chops        | Halal-certified lamb chops for grilling.          | $9.99 | Meat & Poultry    | Yes               |
| P115       | Frozen Mixed Vegetables | Convenient mix of frozen vegetables.               | $2.49 | Frozen Foods      | No                |
| P116       | Halal Chicken Nuggets   | Halal-certified chicken nuggets for kids.         | $3.99 | Frozen Foods      | Yes               |
| P117       | Extra Virgin Olive Oil  | Cold-pressed extra virgin olive oil.              | $7.99 | Condiments & Oils | No                |
| P118       | Halal Beef Biryani      | Ready-to-eat halal beef biryani.                 | $5.49 | Ready Meals       | Yes               |
| P119       | Sparkling Water         | Refreshing sparkling water, assorted flavors.     | $0.99 | Beverages         | No                |
| P120       | Halal Chicken Tikka     | Marinated halal chicken tikka for easy cooking.   | $6.49 | Meat & Poultry    | Yes               |
| P121       | Organic Avocado         | Certified organic avocados for a healthy diet.     | $2.99 | Fruits & Vegetables | No                |
